GreedyAgent,1,2.2,7.20E-03
BetterGreedyAgent,1,46,2.98E-03
MinimaxAgent,2,47.6,2.75E-02
MinimaxAgent,3,36.4,1.67E-01
MinimaxAgent,4,46.6,1.77E+00
AlphaBetaAgent,2,41.4,1.05E-02
AlphaBetaAgent,3,47.8,6.37E-02
AlphaBetaAgent,4,37.9,2.22E-01
